"stock_code","corp_code","company_name","induty_code"
"000010","00149293","신한은행","64121"
"000020","00119195","동화약품","212"
"000030","00254045","우리은행","64121"
"000040","00112378","KR모터스","319"
"000050","00101628","경방","47119"
"000060","00117744","메리츠화재해상보험","65121"
"000070","00126937","삼양홀딩스","64992"
"000080","00150244","하이트진로","11122"
"000100","00145109","유한양행","212"
"000110","00148504","한국스탠다드차타드은행","64121"
"000120","00113410","CJ대한통운","493"
"000140","00148993","하이트진로홀딩스","64992"
"000150","00117212","두산","26221"
"000180","00133335","성창기업지주","71531"
"0001A0","01516933","덕양에너젠","352"
"000210","00109693","DL","20111"
"000220","00144818","유유제약","212"
"000230","00146083","일동홀딩스","212"
"000240","00160047","한국앤컴퍼니","64992"
"000250","00128546","삼천당제약","212"
"000270","00106641","기아","30121"
"000300","00126089","DH오토넥스","303"
"000320","00113508","노루홀딩스","64992"
"000360","00129411","삼환기업","41221"
"000370","00135917","한화손해보험","65121"
"000380","00110963","대아건설","41221"
"000390","00129387","SP삼화","20411"
"000400","00113562","롯데손해보험","65121"
"000420","00120377","로케트전기","28201"
"000430","00111847","대원강업","303"
"000440","00149770","중앙에너비스","46712"
"000470","00104971","그린손해보험","65121"
"000480","00148984","시알홀딩스","2321"
"000490","00109286","대동","29210"
"0004V0","00924931","엔비알모션","259"
"0004Y0","01884065","디비금융제14호스팩","649"
"000500","00104768","가온전선","28302"
"000520","00128032","삼일제약","212"
"000540","00103176","흥국화재","65121"
"000590","00149026","CS홀딩스","64992"
"000610","00148744","제일화재해상보험","65121"
"000640","00116824","동아쏘시오홀딩스","64992"
"000650","00151395","천일고속","49220"
"000660","00164779","SK하이닉스","2612"
"000670","00141307","영풍","24213"
"000680","00104698","LS네트웍스","46800"
"000700","00163691","유수홀딩스","715"
"000720","00164478","현대건설","41221"
"000760","00145686","이화산업","467"
"000790","00134060","씨앤상선","50112"
"0007C0","01829819","아크릴","58222"
"0007J0","01869710","인벤테라","70113"
"000800","00101257","경남기업","41112"
"000810","00139214","삼성화재해상보험","65121"
"000830","00126229","삼성물산","467"
"000850","00166519","화천기공","29223"
"000860","00100939","강남제비스코","20411"
"000880","00160588","한화","20494"
"000890","00123541","보해양조","11122"
"0008Z0","01294110","에스엔시스","28123"
"000910","00144252","유니온","23311"
"000950","00147222","전방","13101"
"000970","00159573","한국주철관공업","24131"
"000990","00160843","DB하이텍","2611"
"0009K0","01781999","에임드바이오","70113"
"001000","00135999","신라섬유","681"
"001020","00134723","페이퍼코리아","171"
"001040","00148540","CJ","64992"
"001060","00149947","JW중외제약","212"
"001070","00112970","대한방직","132"
"001080","00120872","만호제강","24123"
"0010F0","00871587","보원케미칼","2221"
"0010V0","00185301","제이피아이헬스케어","27199"
"001120","00120076","LX인터내셔널","4610"
"001130","00113243","대한제분","105"
"001140","00104519","국보","49301"
