corp_code,stock_code,corp_name,stock_name,corp_cls,market,induty_code,acc_mt,source_api,collected_at
00149293,000010,(주)신한은행,신한은행,E,OTHER,64121,12,company.json,2026-05-08T10:02:09
00119195,000020,동화약품(주),동화약품,Y,KOSPI,212,12,company.json,2026-05-08T10:02:10
00254045,000030,(주)우리은행,우리은행,E,OTHER,64121,12,company.json,2026-05-08T10:02:12
00112378,000040,KR모터스(주),KR모터스,Y,KOSPI,319,12,company.json,2026-05-08T10:02:13
00101628,000050,(주)경방,경방,Y,KOSPI,47119,12,company.json,2026-05-08T10:02:14
00117744,000060,메리츠화재해상보험(주),메리츠화재해상보험,E,OTHER,65121,12,company.json,2026-05-08T10:02:15
00126937,000070,(주)삼양홀딩스,삼양홀딩스,Y,KOSPI,64992,12,company.json,2026-05-08T10:02:16
00150244,000080,하이트진로(주),하이트진로,Y,KOSPI,11122,12,company.json,2026-05-08T10:02:18
00145109,000100,(주)유한양행,유한양행,Y,KOSPI,212,12,company.json,2026-05-08T10:02:19
00148504,000110,(주)한국스탠다드차타드은행,한국스탠다드차타드은행,E,OTHER,64121,12,company.json,2026-05-08T10:02:20
00113410,000120,씨제이대한통운(주),CJ대한통운,Y,KOSPI,493,12,company.json,2026-05-08T10:02:21
00148993,000140,하이트진로홀딩스(주),하이트진로홀딩스,Y,KOSPI,64992,12,company.json,2026-05-08T10:02:22
00117212,000150,(주)두산,두산,Y,KOSPI,26221,12,company.json,2026-05-08T10:02:23
00133335,000180,성창기업지주(주),성창기업지주,Y,KOSPI,71531,12,company.json,2026-05-08T10:02:25
01516933,0001A0,(주)덕양에너젠,덕양에너젠,K,KOSDAQ,352,12,company.json,2026-05-08T10:02:26
00109693,000210,디엘 주식회사,DL,Y,KOSPI,20111,12,company.json,2026-05-08T10:02:27
00144818,000220,(주)유유제약,유유제약,Y,KOSPI,212,12,company.json,2026-05-08T10:02:28
00146083,000230,일동홀딩스(주),일동홀딩스,Y,KOSPI,212,12,company.json,2026-05-08T10:02:29
00160047,000240,한국앤컴퍼니(주),한국앤컴퍼니,Y,KOSPI,64992,12,company.json,2026-05-08T10:02:31
00128546,000250,삼천당제약(주),삼천당제약,K,KOSDAQ,212,12,company.json,2026-05-08T10:02:32
00106641,000270,기아(주),기아,Y,KOSPI,30121,12,company.json,2026-05-08T10:02:33
00126089,000300,(주)디에이치오토넥스,DH오토넥스,Y,KOSPI,303,12,company.json,2026-05-08T10:02:34
00113508,000320,(주)노루홀딩스,노루홀딩스,Y,KOSPI,64992,12,company.json,2026-05-08T10:02:35
00129411,000360,삼환기업(주),삼환기업,E,OTHER,41221,12,company.json,2026-05-08T10:02:37
00135917,000370,한화손해보험(주),한화손해보험,Y,KOSPI,65121,12,company.json,2026-05-08T10:02:38
00110963,000380,대아건설(주),대아건설,E,OTHER,41221,12,company.json,2026-05-08T10:02:40
00129387,000390,에스피삼화(주),SP삼화,Y,KOSPI,20411,12,company.json,2026-05-08T10:02:41
00113562,000400,롯데손해보험(주),롯데손해보험,Y,KOSPI,65121,12,company.json,2026-05-08T10:02:42
00120377,000420,(주)로케트전기,로케트전기,E,OTHER,28201,12,company.json,2026-05-08T10:02:43
00111847,000430,대원강업(주),대원강업,Y,KOSPI,303,12,company.json,2026-05-08T10:02:44
00149770,000440,(주)중앙에너비스,중앙에너비스,K,KOSDAQ,46712,12,company.json,2026-05-08T10:02:45
00104971,000470,그린손해보험(주),그린손해보험,E,OTHER,65121,03,company.json,2026-05-08T10:02:47
00148984,000480,주식회사 시알홀딩스,시알홀딩스,Y,KOSPI,2321,12,company.json,2026-05-08T10:02:48
00109286,000490,(주)대동,대동,Y,KOSPI,29210,12,company.json,2026-05-08T10:02:49
00924931,0004V0,(주)엔비알모션,엔비알모션,K,KOSDAQ,259,12,company.json,2026-05-08T10:02:50
01884065,0004Y0,디비금융제14호기업인수목적 주식회사,디비금융제14호스팩,K,KOSDAQ,649,12,company.json,2026-05-08T10:02:51
00104768,000500,가온전선(주),가온전선,Y,KOSPI,28302,12,company.json,2026-05-08T10:02:52
00128032,000520,삼일제약(주),삼일제약,Y,KOSPI,212,12,company.json,2026-05-08T10:02:54
00103176,000540,흥국화재해상보험(주),흥국화재,Y,KOSPI,65121,12,company.json,2026-05-08T10:02:55
00149026,000590,CS 홀딩스(주),CS홀딩스,Y,KOSPI,64992,12,company.json,2026-05-08T10:02:56
00148744,000610,제일화재해상보험(주),제일화재해상보험,E,OTHER,65121,03,company.json,2026-05-08T10:02:57
00116824,000640,동아쏘시오홀딩스(주),동아쏘시오홀딩스,Y,KOSPI,64992,12,company.json,2026-05-08T10:02:58
00151395,000650,(주)천일고속,천일고속,Y,KOSPI,49220,12,company.json,2026-05-08T10:02:59
00164779,000660,에스케이하이닉스(주),SK하이닉스,Y,KOSPI,2612,12,company.json,2026-05-08T10:03:01
00141307,000670,(주)영풍,영풍,Y,KOSPI,24213,12,company.json,2026-05-08T10:03:02
00104698,000680,(주)LS네트웍스,LS네트웍스,Y,KOSPI,46800,12,company.json,2026-05-08T10:03:03
00163691,000700,(주)유수홀딩스,유수홀딩스,Y,KOSPI,715,12,company.json,2026-05-08T10:03:04
00164478,000720,현대건설(주),현대건설,Y,KOSPI,41221,12,company.json,2026-05-08T10:03:06
00145686,000760,이화산업(주),이화산업,Y,KOSPI,467,12,company.json,2026-05-08T10:03:07
00134060,000790,(주)씨앤상선,씨앤상선,E,OTHER,50112,12,company.json,2026-05-08T10:03:08
01829819,0007C0,(주)아크릴,아크릴,K,KOSDAQ,58222,12,company.json,2026-05-08T10:03:09
01869710,0007J0,주식회사 인벤테라,인벤테라,K,KOSDAQ,70113,12,company.json,2026-05-08T10:03:11
00101257,000800,경남기업(주),경남기업,E,OTHER,41112,12,company.json,2026-05-08T10:03:12
00139214,000810,삼성화재해상보험(주),삼성화재해상보험,Y,KOSPI,65121,12,company.json,2026-05-08T10:03:13
00126229,000830,삼성물산(주),삼성물산,E,OTHER,467,12,company.json,2026-05-08T10:03:14
00166519,000850,화천기공(주),화천기공,Y,KOSPI,29223,12,company.json,2026-05-08T10:03:15
00100939,000860,강남제비스코(주),강남제비스코,Y,KOSPI,20411,12,company.json,2026-05-08T10:03:17
00160588,000880,(주)한화,한화,Y,KOSPI,20494,12,company.json,2026-05-08T10:03:18
00123541,000890,보해양조(주),보해양조,Y,KOSPI,11122,12,company.json,2026-05-08T10:03:19
