batch_id,corp_code,stock_code,corp_name,stock_name,corp_cls,market,induty_code,acc_mt,collected_at
konex_001,01921199,0070X0,주식회사 에스테크엠,에스테크엠,N,KONEX,29299,12,2026-05-08T10:10:29
konex_001,00302236,052960,태양3C(주),태양3C,N,KONEX,452,12,2026-05-08T10:34:25
konex_001,00341314,059180,엔더블유시(주),엔더블유시,N,KONEX,264,12,2026-05-08T10:36:59
konex_001,00393618,066830,(주)제노텍,제노텍,N,KONEX,204,12,2026-05-08T10:39:25
konex_001,00321204,076340,지에이이노더스(주),지에이이노더스,N,KONEX,421,12,2026-05-08T10:41:55
konex_001,00523176,086220,광동헬스바이오(주),광동헬스바이오,N,KONEX,108,12,2026-05-08T10:45:02
konex_001,00578325,092590,럭스피아(주),럭스피아,N,KONEX,2611,12,2026-05-08T10:47:00
konex_001,00521433,093510,(주)엔지브이아이,엔지브이아이,N,KONEX,30399,12,2026-05-08T10:47:19
konex_001,00677334,102950,(주)아하,아하,N,KONEX,262,12,2026-05-08T10:49:28
konex_001,00762377,103660,(주)씨앗,씨앗,N,KONEX,204,12,2026-05-08T10:49:38
konex_001,00366517,112190,(주)케이씨산업,KC산업,N,KONEX,412,12,2026-05-08T10:50:49
konex_001,00414540,114920,대주이엔티(주),대주이엔티,N,KONEX,2413,12,2026-05-08T10:51:07
konex_001,00442631,116100,태양기계(주),태양기계,N,KONEX,30320,12,2026-05-08T10:51:22
konex_001,00445869,121060,(주)유니포인트,유니포인트,N,KONEX,620,12,2026-05-08T10:51:42
konex_001,00337296,122830,(주)원포유,원포유,N,KONEX,582,12,2026-05-08T10:52:03
konex_001,00816696,136660,(주)큐엠씨,큐엠씨,N,KONEX,2927,12,2026-05-08T10:53:37
konex_001,01018802,140610,(주)엔솔바이오사이언스,엔솔바이오사이언스,N,KONEX,70113,12,2026-05-08T10:54:11
konex_001,00663289,140660,위월드(주),위월드,N,KONEX,26429,12,2026-05-08T10:54:13
konex_001,00861100,149010,아이케이세미콘(주),아이케이세미콘,N,KONEX,2611,12,2026-05-08T10:54:54
konex_001,00578130,149300,아퓨어스 주식회사,아퓨어스,N,KONEX,701,12,2026-05-08T10:54:56
konex_001,00886792,162120,(주)루켄테크놀러지스,루켄테크놀러지스,N,KONEX,289,12,2026-05-08T10:55:43
konex_001,00610861,169670,코스텍시스템 주식회사,코스텍시스템,N,KONEX,29271,12,2026-05-08T10:56:01
konex_001,00666329,176590,(주)코나솔,코나솔,N,KONEX,259,12,2026-05-08T10:56:22
konex_001,00910202,178600,대동고려삼(주),대동고려삼,N,KONEX,108,06,2026-05-08T10:56:29
konex_001,00978075,179720,(주)머니무브,머니무브,N,KONEX,649,12,2026-05-08T10:56:37
konex_001,00874937,180060,(주)탑선,탑선,N,KONEX,289,12,2026-05-08T10:56:39
konex_001,00830447,185190,(주)수프로,수프로,N,KONEX,46204,03,2026-05-08T10:56:57
konex_001,00965062,189350,(주)코셋,코셋,N,KONEX,26410,12,2026-05-08T10:57:16
konex_001,00611286,191600,(주)블루탑,블루탑,N,KONEX,2622,12,2026-05-08T10:57:27
konex_001,00553025,199150,(주)데이터스트림즈,데이터스트림즈,N,KONEX,58221,12,2026-05-08T10:58:06
konex_001,00669450,199290,(주)바이오프로테크,바이오프로테크,N,KONEX,271,12,2026-05-08T10:58:08
konex_001,01018617,200580,(주)메디쎄이,메디쎄이,N,KONEX,27199,12,2026-05-08T10:58:23
konex_001,00541862,202960,(주)판도라티비,판도라티비,N,KONEX,58221,12,2026-05-08T10:58:30
konex_001,00756163,206950,(주)볼빅,볼빅,N,KONEX,33309,12,2026-05-08T10:59:01
konex_001,00832700,207490,에이펙스인텍(주),에이펙스인텍,N,KONEX,28422,12,2026-05-08T10:59:03
konex_001,01116344,208850,이비테크(주),이비테크,N,KONEX,28909,12,2026-05-08T10:59:15
konex_001,00876209,208890,(주)미래엔에듀파트너,미래엔에듀파트너,N,KONEX,857,12,2026-05-08T10:59:19
konex_001,01085442,212310,(주)오건에코텍,오건에코텍,N,KONEX,27192,12,2026-05-08T10:59:28
konex_001,01034730,215570,크로넥스(주),크로넥스,N,KONEX,70113,12,2026-05-08T11:00:01
konex_001,00537221,216400,인바이츠바이오코아(주),인바이츠바이오코아,N,KONEX,70113,12,2026-05-08T11:00:10
konex_001,00963000,217320,(주)썬테크,썬테크,N,KONEX,28111,12,2026-05-08T11:00:13
konex_001,00976615,217880,(주)틸론,틸론,N,KONEX,58222,12,2026-05-08T11:00:24
konex_001,01139497,217910,주식회사 에스제이켐,에스제이켐,N,KONEX,20129,12,2026-05-08T11:00:26
konex_001,01066058,217950,(주)파마리서치바이오,파마리서치바이오,N,KONEX,212,12,2026-05-08T11:00:27
konex_001,01063237,222670,(주)플럼라인생명과학,플럼라인생명과학,N,KONEX,701,12,2026-05-08T11:01:02
konex_001,01060735,223220,(주)로지스몬,로지스몬,N,KONEX,529,12,2026-05-08T11:01:08
konex_001,00929228,224760,(주)엔에스컴퍼니,엔에스컴퍼니,N,KONEX,412,12,2026-05-08T11:01:16
konex_001,00607797,224810,(주)엄지하우스,엄지하우스,N,KONEX,424,12,2026-05-08T11:01:17
konex_001,01109690,227420,도부(주),도부,N,KONEX,132,12,2026-05-08T11:01:46
konex_001,01065785,229500,(주)노브메타파마,노브메타파마,N,KONEX,70113,12,2026-05-08T11:01:58
konex_001,00925967,232530,(주)이엠티,이엠티,N,KONEX,28202,03,2026-05-08T11:02:12
konex_001,01035942,233250,(주)메디안디노스틱,메디안디노스틱,N,KONEX,213,12,2026-05-08T11:02:17
konex_001,01063556,233990,(주)질경이,질경이,N,KONEX,20423,12,2026-05-08T11:02:18
konex_001,00614089,234070,주식회사 에이원큐브텍,에이원큐브텍,N,KONEX,76310,12,2026-05-08T11:02:20
konex_001,01085187,236030,(주)씨알푸드,씨알푸드,N,KONEX,105,12,2026-05-08T11:02:31
konex_001,01023822,236340,(주)메디젠휴먼케어,메디젠휴먼케어,N,KONEX,70113,12,2026-05-08T11:02:34
konex_001,01118643,238500,(주)솔루믹스,솔루믹스,N,KONEX,739,12,2026-05-08T11:02:48
konex_001,00565215,243870,(주)아이티센코어,아이티센코어,N,KONEX,62021,12,2026-05-08T11:03:16
konex_001,01117422,244880,(주)나눔테크,나눔테크,N,KONEX,27199,12,2026-05-08T11:03:19
konex_001,01116380,245450,(주)씨앤에스링크,씨앤에스링크,N,KONEX,264,12,2026-05-08T11:03:24
konex_001,01158632,250030,주식회사 진코스텍,진코스텍,N,KONEX,20423,12,2026-05-08T11:03:50
konex_001,01115044,251280,(주)안지오랩,안지오랩,N,KONEX,70113,12,2026-05-08T11:03:57
konex_001,01262023,253610,(주)루트락,루트락,N,KONEX,467,12,2026-05-08T11:04:11
konex_001,01366824,254160,(주)제이엠멀티,제이엠멀티,N,KONEX,16101,12,2026-05-08T11:04:14
konex_001,00425254,257990,(주)나우코스,나우코스,N,KONEX,20423,12,2026-05-08T11:04:28
konex_001,01246742,258050,(주)테크트랜스,테크트랜스,N,KONEX,25923,12,2026-05-08T11:04:29
konex_001,01188730,260870,SK시그넷(주),SK시그넷,N,KONEX,2811,12,2026-05-08T11:04:41
konex_001,00990396,266170,(주)레드우즈,레드우즈,N,KONEX,59114,12,2026-05-08T11:05:18
konex_001,01208821,266350,(주)팡스카이,팡스카이,N,KONEX,5821,12,2026-05-08T11:05:20
konex_001,01130885,266470,(주)바이오인프라생명과학,바이오인프라생명과학,N,KONEX,70113,12,2026-05-08T11:05:21
konex_001,01575361,267080,세븐브로이맥주 주식회사,세븐브로이맥주,N,KONEX,11112,12,2026-05-08T11:05:24
konex_001,01187458,270210,(주)에스알바이오텍,에스알바이오텍,N,KONEX,20423,12,2026-05-08T11:05:40
konex_001,01119651,276240,(주)엘리비젼,엘리비젼,N,KONEX,26519,12,2026-05-08T11:06:08
konex_001,01117246,278990,(주)이엠비,EMB,N,KONEX,281,12,2026-05-08T11:06:22
konex_001,01353848,279060,(주)이노벡스,이노벡스,N,KONEX,272,12,2026-05-08T11:06:23
konex_001,01352575,289170,바이오텐(주),바이오텐,N,KONEX,108,12,2026-05-08T11:07:01
