batch_id,corp_code,stock_code,corp_name,stock_name,corp_cls,market,induty_code,acc_mt,collected_at
kosdaq_001,01516933,0001A0,(주)덕양에너젠,덕양에너젠,K,KOSDAQ,352,12,2026-05-08T10:02:26
kosdaq_001,00128546,000250,삼천당제약(주),삼천당제약,K,KOSDAQ,212,12,2026-05-08T10:02:32
kosdaq_001,00149770,000440,(주)중앙에너비스,중앙에너비스,K,KOSDAQ,46712,12,2026-05-08T10:02:45
kosdaq_001,00924931,0004V0,(주)엔비알모션,엔비알모션,K,KOSDAQ,259,12,2026-05-08T10:02:50
kosdaq_001,01884065,0004Y0,디비금융제14호기업인수목적 주식회사,디비금융제14호스팩,K,KOSDAQ,649,12,2026-05-08T10:02:51
kosdaq_001,01829819,0007C0,(주)아크릴,아크릴,K,KOSDAQ,58222,12,2026-05-08T10:03:09
kosdaq_001,01869710,0007J0,주식회사 인벤테라,인벤테라,K,KOSDAQ,70113,12,2026-05-08T10:03:11
kosdaq_001,01294110,0008Z0,에스엔시스(주),에스엔시스,K,KOSDAQ,28123,12,2026-05-08T10:03:20
kosdaq_001,01781999,0009K0,(주)에임드바이오,에임드바이오,K,KOSDAQ,70113,12,2026-05-08T10:03:26
kosdaq_001,00135999,001000,신라섬유(주),신라섬유,K,KOSDAQ,681,12,2026-05-08T10:03:27
kosdaq_001,00871587,0010F0,(주)보원케미칼,보원케미칼,K,KOSDAQ,2221,12,2026-05-08T10:03:34
kosdaq_001,00185301,0010V0,제이피아이헬스케어(주),제이피아이헬스케어,K,KOSDAQ,27199,12,2026-05-08T10:03:35
kosdaq_001,01554508,0011A0,(주)액스비스,액스비스,K,KOSDAQ,289,12,2026-05-08T10:03:42
kosdaq_001,01279698,0011T0,채비(주),채비,K,KOSDAQ,28119,12,2026-05-08T10:03:43
kosdaq_001,01370322,0013V0,삼진식품(주),삼진식품,K,KOSDAQ,10211,12,2026-05-08T10:04:03
kosdaq_001,00139205,001540,안국약품(주),안국약품,K,KOSDAQ,212,12,2026-05-08T10:04:18
kosdaq_001,00677486,0015G0,(주)그린광학,그린광학,K,KOSDAQ,273,12,2026-05-08T10:04:25
kosdaq_001,01381805,0015N0,주식회사 아로마티카,아로마티카,K,KOSDAQ,20423,12,2026-05-08T10:04:26
kosdaq_001,01817920,0015S0,주식회사 페스카로,페스카로,K,KOSDAQ,739,12,2026-05-08T10:04:27
